Name,Image,Status,Municipality,first lit,automated,Tower height,focal height (m),Range (nm),Owned by,Protected,Coordinates
Sjåberget Lighthouse,,Active,Andøy,,,,,,,,
Sandvikodden,,Active,Arendal,1844,1934,10.7,17,11.5,Private,Yes,58.436634°N 8.784016°E
Saltholmen,,1952,Lillesand,1882,NA,11,14,12,Private,Yes,58.231872°N 8.404894°E
Ryvingen,,Active,Mandal,1867,2002,22.5,52,19.5,Kystverket,Yes,57.977772°N 7.519576°E
Ryvarden,,Active,Sveio,1849,1984,6.9,22.3,13.4,Kystverket,No,59.527528°N 5.227107°E
Runde,,Active,Herøy,1767,2002,10,49.5,19,Kystverket,No,62.414331°N 5.589925°E
Røværsholmen,,Active,Haugesund,1892,1975,15.5,22.5,14.6,Kystverket,Yes,59.451912°N 5.070019°E
Rotvær,,Active,Lødingen,1914,1985,13.4,22,14,Kystverket,No,68.37757°N 15.985182°E
Rødtangen,,Active,Hurum,1840,1897,2,11,7,Private,No,59.528312°N 10.41667°E
Rødholmen,,Active,Haram,1893,1954,11.5,13.7,12,Kystverket,No,62.7983°N 6.979228°E
Rivingen,,Active,Grimstad,1886,1925,10,12.3,11.5,Kystverket,No,58.304491°N 8.585794°E
Ona,,Active,Sandøy,1867,1971,14.7,40,15,Kystverket,No,62.86614°N 6.551539°E
Oksøy,,Active,Kristiansand,1832,2004,36,47,19,Kystverket,Yes,58.074986°N 8.060445°E
Odderøya,,Active,Kristiansand,1832,1984,7.8,19.1,13.8,Kystverket,Yes,58.131742°N 8.003650°E
